Name,X10_Chronic_KO_1_RNA,X11_Chronic_KO_2_RNA,X12_Chronic_KO_3_RNA,X1_Acute_Control_1_RNA,X2_Acute_Control_2_RNA,X3_Acute_Control_3_RNA,X4_Acute_KO_1_RNA,X5_Acute_KO_2_RNA,X6_Acute_KO_3_RNA,X7_Chronic_Control_1_RNA,X8_Chronic_Control_2_RNA,X9_Chronic_Control_3_RNA
ENSMUSG00000094105, 0.29301,-0.21654,-3.80993, 3.79842, 3.78688, 3.71836, 1.97979, 1.50100, 0.63185, 5.04227, 4.98016, 3.40087
ENSMUSG00000041949, 2.28252, 2.22089, 2.52524, 1.82193, 2.04205, 1.90659, 1.81279, 1.83858, 2.29085, 2.05623, 2.34249, 2.08828
ENSMUSG00000031540, 4.57644, 4.57738, 4.88334, 5.10097, 5.11984, 5.45712, 5.34531, 4.52934, 4.50272, 4.44205, 4.67351, 4.70013
ENSMUSG00000120180, 0.68133, 0.20543,-0.81012,-1.13493,-1.25884,-0.97228,-2.00691,-0.54059,-0.04831, 0.84410, 1.01318,-0.76880
ENSMUSG00000082066, 0.45349, 0.30921,-1.16626,-2.13388,-1.09578,-1.78982,-2.30321,-1.39077,-2.23790, 1.21930, 1.15636, 0.38584
ENSMUSG00000121855, 0.54543, 0.42463, 1.59925, 0.87808, 1.13843, 1.20636, 0.35669, 0.04528, 1.03263, 0.23031,-0.77004, 0.99483
ENSMUSG00000016637, 3.77750, 3.68358, 2.81190, 4.28643, 4.19008, 4.11561, 3.66917, 3.28070, 3.31973, 3.95568, 3.87107, 3.75398
ENSMUSG00000039220, 5.20152, 5.13787, 4.09524, 4.83867, 4.95131, 4.94176, 5.00484, 4.89670, 4.66487, 4.75665, 4.76574, 4.13136
ENSMUSG00000057863,10.77506,10.65445,10.96870,10.32966,10.26517,10.13619,10.04808,11.15377,11.27310,10.86428,10.90180,11.18000
ENSMUSG00000024590, 6.73982, 6.62740, 5.79023, 6.47420, 6.52296, 6.46848, 7.00234, 6.46774, 6.33840, 5.68270, 5.63255, 5.58408
ENSMUSG00000056155,-1.03990,-1.33558,-2.81004,-4.82278,-1.99313,-2.17551,-1.68781,-2.01491,-0.45451,-2.49174,-2.13027,-1.50397
ENSMUSG00000026765,-0.50922,-0.95279, 1.24514, 2.15804, 2.35099, 2.24274, 0.42446, 0.37823, 0.24221, 2.20823, 1.85550, 3.33300
ENSMUSG00000028792, 6.28957, 6.31878, 5.76350, 6.44319, 6.36417, 6.25216, 5.89409, 6.18700, 6.17398, 6.59523, 6.65809, 6.33136
ENSMUSG00000035401, 5.66365, 5.75281, 5.98142, 5.08840, 5.14317, 5.32845, 4.94408, 6.22587, 6.14129, 5.74761, 5.69429, 5.89041
ENSMUSG00000060586,-3.47530,-2.27207,-2.22511,-2.24918,-2.43816,-2.29051,-3.39860,-5.80927,-4.66541,-0.68474,-2.13027,-1.09005
ENSMUSG00000044303, 6.63124, 6.47785, 6.40841, 6.85663, 6.70293, 6.75476, 6.64826, 7.40984, 7.52202, 7.41946, 7.46065, 7.64793
ENSMUSG00000027671, 5.15120, 5.22670, 4.89980, 5.18110, 5.21226, 5.11698, 4.94984, 4.64418, 4.68437, 5.03993, 4.98784, 4.62676
ENSMUSG00000061898, 2.47250, 1.96533, 1.62448, 2.16369, 1.97634, 1.67334, 2.17935, 2.37931, 1.70215, 2.16314, 2.23043, 1.16602
ENSMUSG00000073598,-1.09437,-1.21547,-2.64013,-0.88134,-1.14811,-1.12401,-0.72986,-0.42490,-1.29989,-2.00645,-1.49507,-0.65037
ENSMUSG00000030086, 3.17152, 3.13017, 3.12354, 3.15515, 3.11028, 3.22440, 3.26698, 3.13435, 3.57348, 3.05004, 3.04467, 2.88407
ENSMUSG00000031438, 4.02911, 4.13719, 5.43124, 4.58250, 4.61396, 5.25538, 4.35953, 4.51008, 5.22764, 4.37320, 4.33116, 5.61150
ENSMUSG00000033083, 0.69745, 0.90722, 0.51179, 1.09454, 0.95212, 1.08473, 1.38963, 0.73403, 0.48392,-2.81355,-2.26981,-1.89488
ENSMUSG00000017756, 3.25286, 3.54164, 3.47987, 3.42807, 3.66894, 3.51934, 3.43661, 3.30325, 3.52293, 3.24113, 3.25340, 4.00771
ENSMUSG00000029657, 4.53667, 4.65033, 4.93048, 5.08246, 5.16679, 5.49234, 4.98393, 3.65838, 4.16033, 4.15883, 3.97326, 4.03448
ENSMUSG00000043953, 0.91987, 1.53118, 2.43778, 1.85720, 1.95169, 2.09593, 1.73484, 1.66666, 1.52963, 2.11660, 1.78673, 2.98512
ENSMUSG00000019235,-0.93677,-2.05031,-0.90323,-1.66498,-1.25884,-2.17551,-1.42666,-1.01113,-0.58849,-0.68474,-0.66997,-1.31188
ENSMUSG00000007039, 5.17082, 5.32592, 6.01162, 1.62317, 1.74483, 2.15206, 4.46790, 5.19679, 5.44399, 2.58673, 2.78299, 4.76551
ENSMUSG00000029265, 5.56166, 5.65525, 6.06368, 5.65744, 5.70064, 5.97907, 5.96338, 5.63035, 5.71026, 5.57655, 5.48299, 5.94042
